FID,BPUIC,BEZEICHNUN,GEMEINDENA,BFS_NUMMER,KANTONSKUE,E_WGS84,N_WGS84
607,8595640,"Ziegelbrücke, Bahnhof Süd",Schänis,3315,SG,9.059139860000000,47.136578630000002
608,8503225,Ziegelbrücke,Schänis,3315,SG,9.060051670000000,47.136155899999999
609,8506617,"Lichtensteig, Hintergurtberg",Wattwil,3379,SG,9.065813100000000,47.322263190000001
610,8573980,"Bütschwil, Pflegeheim",Bütschwil-Ganterschwil,3395,SG,9.069871460000000,47.361519620000003
611,8584906,Tankstelle BP Bütschwil,Bütschwil-Ganterschwil,3395,SG,9.073450310000000,47.363040880000000
612,8585405,"Bütschwil, Gemeindehaus",Bütschwil-Ganterschwil,3395,SG,9.073428229999999,47.356707810000003
613,8580582,"Ganterschwil, Oetschwilerstr.",Bütschwil-Ganterschwil,3395,SG,9.084218659999999,47.376789539999997
614,8506675,"Jonschwil, Kreisel",Jonschwil,3405,SG,9.086494150000000,47.424670640000002
615,8506729,"Jonschwil, Winkel",Jonschwil,3405,SG,9.087145489999999,47.422160439999999
616,8578580,"Wattwil, Bunt",Wattwil,3379,SG,9.084292550000001,47.314003260000000
617,8578553,"Wattwil, Brendi",Wattwil,3379,SG,9.085274910000001,47.295258699999998
618,8578579,"Lichtensteig, Rosengarten",Wattwil,3379,SG,9.085960180000001,47.317029230000003
619,8578577,"Lichtensteig, Obertor",Lichtensteig,3374,SG,9.087620019999999,47.324076669999997
620,8502730,Tankstelle BP Wattwil,Wattwil,3379,SG,9.089655779999999,47.291534499999997
621,8573915,"Züberwangen, Weieren",Zuzwil (SG),3426,SG,9.103028520000001,47.464232350000003
622,8578491,"Weesen, Post",Weesen,3316,SG,9.096272830000000,47.134195820000002
623,8573942,"Oberuzwil, Schützenhaus",Oberuzwil,3407,SG,9.107055859999999,47.431914419999998
624,8506730,"Zuzwil SG, Industrie",Zuzwil (SG),3426,SG,9.111287060000000,47.470788270000000
625,8573917,"Zuzwil SG, Gemeindehaus",Zuzwil (SG),3426,SG,9.111865820000000,47.474846100000001
626,8595389,"Henau, Oberberg",Uzwil,3408,SG,9.114446490000001,47.451895819999997
627,8506766,"Oberhelfenschwil, Dorf",Oberhelfenschwil,3375,SG,9.113961370000000,47.353934029999998
628,8578588,"Ebnat, Kapplerhof",Ebnat-Kappel,3352,SG,9.111876980000000,47.272348389999998
629,8506576,"Oberuzwil, Post",Oberuzwil,3407,SG,9.124016449999999,47.429941110000001
630,8506669,"Lenggenwil, Taa",Niederhelfenschwil,3423,SG,9.131437269999999,47.470270259999999
631,8574014,"Heiterswil, Krummbach",Wattwil,3379,SG,9.127851500000000,47.299302980000000
632,8506294,Brunnadern-Neckertal,Neckertal,3378,SG,9.129870000000000,47.337310000000002
633,8583596,"Sonnental, Schulhaus",Oberbüren,3424,SG,9.136035209999999,47.460109269999997
634,8506704,"Brunnadern, Anker",Neckertal,3378,SG,9.136567149999999,47.329655170000002
635,8591906,"Ebnat, Gieselbach",Ebnat-Kappel,3352,SG,9.135115669999999,47.259485329999997
636,8506577,"Oberbüren, Buchental",Oberbüren,3424,SG,9.153534590000000,47.445385270000003
637,8509463,"Amden, Hinterstein",Amden,3311,SG,9.155300920000000,47.151548269999999
638,8574016,"Hemberg, Dietschwil",Hemberg,3372,SG,9.160208559999999,47.297933739999998
639,8506472,"Flawil, Scheidweg",Flawil,3402,SG,9.168987350000000,47.417347560000003
640,8573920,"Niederhelfenschwil, Waldhof",Niederhelfenschwil,3423,SG,9.172646730000000,47.474760689999997
641,8506583,"Oberbüren, Eich/Au",Oberbüren,3424,SG,9.176691790000000,47.454809410000003
642,8587338,"Krummenau, Restaurant Adler",Nesslau,3360,SG,9.172025240000000,47.246853309999999
643,8506727,"Oberbüren, Rüti",Oberbüren,3424,SG,9.184581350000000,47.449886560000003
644,8580558,"Flawil, Bärenplatz",Flawil,3402,SG,9.187959040000001,47.413049549999997
